Story ID	Area	Feature	User story	Expected behavior	Code refs	Automated coverage	Test status	Defect status	Priority	Notes
JUN-011	Navigation	Global shortcuts	As a keyboard user, I want app-wide shortcuts for new sessions, notes, and settings.	Command-N or Ctrl-N starts a new session; Command-Shift-N or Ctrl-Shift-N creates a note; native settings event opens settings; shortcuts are ignored while dialogs own focus.	src/app/App.tsx; src/lib/platform.ts	src/test/app-shortcut.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-012	Navigation	Sidebar resize and collapse	As a user, I want the sidebar to resize and collapse without breaking main content.	Dragging the separator previews collapse, snaps smoothly, preserves minimum note width, and does not apply broken composer transitions.	src/app/App.tsx; src/app/sidebar-resize.ts	src/test/sidebar-resize.test.ts	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-013	Navigation	Search field behavior	As a user, I want sidebar search to filter visible notes and sessions without destructive side effects.	Typing in sidebar search filters note/session rows, keeps pinned sessions separate, and command-palette search remains distinct from list filtering.	src/components/sidebar/Sidebar.tsx	src/test/folders.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-014	Meeting notes	All notes workspace	As a user, I want a meeting-notes library with create, search, select, move, and delete actions.	All notes view lists notes with placeholders, creates new notes, opens selected notes, supports search, bulk selection, move dialog, and delete confirmations.	src/components/notes-list/NotesList.tsx; src/app/App.tsx	src/test/folders.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-015	Meeting notes	Note detail editing	As a user, I want to edit a note title and body without losing generated content.	Title edits persist, body edits autosave on blur, generated content displays as editable preview, and late generated appends do not erase user edits.	src/components/note-editor/NoteEditor.tsx; src/components/note-editor/NotePreview.tsx; src/app/App.tsx	src/test/note-editor.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-016	Meeting notes	Note tabs	As a user, I want to switch between Notes and Transcription for a note.	Segmented control switches tabs, persists active tab through updateNote, and renders the correct content without changing the note selection.	src/components/note-editor/NoteEditor.tsx; src/lib/tauri.ts	src/test/note-editor.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-017	Transcription	Raw transcript view	As a user, I want to inspect a note's transcript text.	Transcription tab shows raw transcript when available, shows helpful empty/processing text otherwise, and can copy the whole transcript.	src/components/note-editor/NoteEditor.tsx	src/test/note-editor.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-018	Transcription	Source turn rendering	As a user, I want microphone and system turns ordered by time with labels.	Source transcript turns sort by turn index and timestamps, show Microphone/System labels and time ranges, hide whole-note failures as turns, and show friendly lane failure messages.	src/components/note-editor/NoteEditor.tsx; src-tauri/src/audio/turns.rs	src/test/note-editor.test.tsx; src-tauri/tests/processing.rs	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-019	Transcription	Live transcript preview	As a user recording a meeting, I want live transcript preview turns to appear while recording.	Live transcript events for the selected recording note merge with persisted turns, sort by time, show partial/final status, and are scoped to the active recording note.	src/app/App.tsx; src/components/note-editor/NoteEditor.tsx; src/lib/tauri.ts	src/test/note-editor.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Previous user-reported issue area. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-020	Transcription	Source filtering	As a user, I want to filter transcript turns by source when both sources exist.	Filter appears only when microphone and system turns are both present, supports All/Microphone/System, and resets when navigating to a different note.	src/components/note-editor/NoteEditor.tsx	src/test/note-editor.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-021	Transcription	Copy turn	As a user, I want to copy a single transcript turn.	Each visible turn offers copy, writes trimmed text to clipboard, and gives temporary Copied feedback without changing the transcript.	src/components/note-editor/NoteEditor.tsx	src/test/note-editor.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-022	Recording	Start recording	As a user, I want to start recording from a note using the current audio source mode.	Record button checks readiness, starts Tauri recording for the selected note, disables conflicting record actions, plays sound, and updates note/recording state.	src/app/App.tsx; src/components/note-editor/NoteEditor.tsx; src-tauri/src/commands.rs	src/test/note-editor.test.tsx; src/test/recorder.test.tsx; src/test/tauri-contract.test.ts	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	NoteEditor tests cover record availability during recovery/processing and immediate start without a blocking consent gate; Tauri contract tests cover selected source mode in start_recording. Full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-023	Recording	Microphone-only and system audio modes	As a user, I want to choose microphone-only or microphone plus system audio recording.	Recording options show on macOS, system audio toggle maps to microphonePlusSystem, Windows hides system options, and denied/unsupported states show setup guidance.	src/components/note-editor/NoteEditor.tsx; src/components/settings/AppSettings.tsx; src-tauri/src/commands.rs	src/test/note-editor.test.tsx; src/test/app-settings.test.tsx; src/test/app-permissions.test.ts	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	NoteEditor and settings tests cover macOS recording options, switching between microphone/system modes, Windows hiding system controls, and Tauri source-mode command wiring. Full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-024	Recording	Permission denial handling	As a user, I want denied microphone or system-audio access to produce clear next steps.	App detects microphone block from dictation helper status, shows Microphone access required, opens privacy settings, and prevents silent failure.	src/app/App.tsx; src/components/note-editor/NoteEditor.tsx; src-tauri/src/commands.rs	src/test/note-editor.test.tsx; src/test/app-permissions.test.ts; src/test/app-settings.test.tsx	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	Automated tests cover blocked accessibility/microphone state helpers, settings permission actions, and the note recording options Enable action for denied system audio. Full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-025	Recording	Pause and resume	As a user, I want to pause and resume a recording without losing elapsed status.	Recorder bar toggles Pause/Resume, backend status updates source states, UI keeps levels/warnings visible, and Done remains available when valid.	src/components/recorder/RecorderBar.tsx; src/app/App.tsx; src-tauri/src/commands.rs	src/test/recorder.test.tsx; src/test/tauri-contract.test.ts	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	Recorder tests cover elapsed time, waveform activity, pause/resume callbacks with the active session, finalizing disabled states, and source-level display. Full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-026	Recording	Finish recording and processing	As a user, I want Done to finish capture and let transcription/generation continue.	Finish moves note through validating/transcribing/generating, clears active recorder after handoff, keeps editor usable when allowed, and polls until terminal ready/failed/recoverable.	src/app/App.tsx; src/app/processing-polling.ts; src-tauri/src/commands.rs; src-tauri/src/domain/processing.rs	src/test/recorder.test.tsx; src/test/processing-polling.test.ts; src/test/app-state.test.ts; src-tauri/tests/processing.rs	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	Recorder tests cover Done dispatch for the active session; polling/app-state/Rust tests cover processing handoff, terminal states, and generated note behavior. Full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-027	Recording	Processing failures and retry	As a user, I want failed notes to explain the error and offer retry/top-up when appropriate.	Failure banner maps errors to user-facing copy, shows retry when audio exists and processing is failed, top-up appears for insufficient credits, and retry restarts authoritative processing.	src/components/note-editor/NoteFailureBanner.tsx; src/components/note-editor/NoteEditor.tsx; src/app/App.tsx	src/test/note-failure-banner.test.tsx; src/test/note-editor.test.tsx; src/test/app-state.test.ts	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-028	Recording	Recovery prompt	As a user, I want interrupted recordings to be recoverable or discardable.	Recoverable sessions surface a recovery prompt, Recover validates available artifacts, Discard removes recovery state, and selected note state updates after action.	src/components/recorder/NoteRecoveryPrompt.tsx; src/app/App.tsx; src-tauri/src/commands.rs	src/test/recovery.test.tsx; src/test/tauri-contract.test.ts	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-029	Recording	Global recorder pill	As a user, I want to see and return to an active recording from elsewhere in the app.	Global recorder pill appears while another note records, shows title/status, opens the recording note, and avoids duplicating inside settings/sidebar states.	src/components/recorder/GlobalRecorderPill.tsx; src/app/App.tsx	src/test/recorder.test.tsx; src/test/folders.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-030	Recording	Consent reminder	As a user, I want a lightweight reminder that recording requires consent.	After a recording starts, a consent reminder appears after delay, can be dismissed, and auto-hides after five seconds.	src/components/note-editor/NoteEditor.tsx	src/test/note-editor.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-031	Meeting detection	Meeting HUD prompt	As a user entering a meeting, I want June to prompt me to take notes.	Meeting HUD shows when native meeting detection fires, includes meeting app labels when present, starts transcription on click, dismisses/suppresses correctly, and delays while onboarding is active.	src/meeting-hud.ts; src-tauri/src/meeting_hud.rs; src/lib/events.ts	src/test/hud-meeting.test.ts; src/test/app-meeting-start.test.tsx	Automated pass; HUD/browser smoke pass; hardware manual pending	None logged	P0	Manual proof requires native HUD/window behavior. Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-032	Meeting detection	Start from meeting prompt	As a user, I want clicking the meeting prompt to create a fresh note and start recording.	App receives meeting-start event, creates a note, starts recording with selected source mode, and opens the note or HUD to active recording state.	src/app/App.tsx; src/lib/events.ts	src/test/app-meeting-start.test.tsx	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-033	Projects	Project list	As a user, I want to browse, search, sort, create, edit, and delete projects.	Projects view lists project cards, supports search and sort, creates projects with name/description, edits details, and deletes project membership without deleting notes by default.	src/components/folders/FoldersWorkspace.tsx; src/components/folders/CreateFolderDialog.tsx; src/components/folders/EditFolderDialog.tsx	src/test/folders-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-034	Projects	Project detail	As a user, I want each project to show its meeting notes and agent sessions.	Project detail shows breadcrumbs, metadata, notes, sessions, empty state, add menu, inline title rename, and returns to list/source correctly.	src/components/folders/FoldersWorkspace.tsx; src/app/App.tsx	src/test/folders-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-035	Projects	Assign notes to projects	As a user, I want to move notes into and out of projects.	Folder chips assign existing or newly created projects, move dialogs list eligible projects, drag/drop assigns notes, removing a note updates list state.	src/components/note-editor/NoteEditor.tsx; src/components/folders/MoveNoteToFolderDialog.tsx; src/components/folders/AddNotesToFolderDialog.tsx; src/lib/dnd.ts	src/test/folders-workspace.test.tsx; src/test/folders.test.tsx; src/test/folder-chip.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-036	Projects	Assign sessions to projects	As a user, I want to file agent sessions into projects with meeting notes.	Session move dialogs assign sessions, project details show assigned sessions, sessions can be removed from project, and selecting a session from a project shows project breadcrumbs.	src/components/folders/AddSessionsToProjectDialog.tsx; src/components/folders/MoveSessionToProjectDialog.tsx; src/components/agent/AgentSessionsList.tsx	src/test/agent-sessions-list.test.tsx; src/test/folders-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-037	Agent	New session hero	As a user, I want a blank agent start screen that can launch a new June session.	Agent defaults to a new-session hero on macOS, shows rotating greeting and shortcuts, creates a fresh Hermes session on submit, and avoids restoring stale sessions while new-session is pending.	src/components/agent/AgentWorkspace.tsx; src/app/App.tsx	src/test/agent-workspace.test.tsx; src/test/tabs.test.ts	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-038	Agent	Composer send and follow-up	As a user, I want to send messages and follow-ups to June reliably.	Composer accepts text, prevents empty submit, sends to Hermes, shows optimistic user bubble, keeps pending duplicate messages, and resumes working state while runtime is active.	src/components/agent/AgentWorkspace.tsx; src/lib/hermes-gateway.ts	src/test/agent-workspace.test.tsx; src/test/hermes-gateway.test.ts	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-039	Agent	Stop current session	As a user, I want to stop June while it is working.	Stop button interrupts the runtime immediately in UI, clears or reconciles working state, and remains robust before the backend interrupt resolves.	src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-040	Agent	Model picker	As a user, I want to pick the text model used for agent replies.	Composer model trigger opens suggested/all model picker, supports search, privacy labels, and selected state. The picker stays available while June responds; the latest session-local choice leaves the current response unchanged and applies before the next user message. Labels refresh after settings change.	src/components/agent/AgentWorkspace.tsx; src/components/settings/ModelPickerDialog.tsx; src/lib/hermes-session-model-selection.ts; src/lib/hermes-control-plane/methods.ts; src/lib/model-privacy.ts	src/test/agent-workspace.test.tsx; src/test/hermes-session-model-selection.test.ts; src/test/hermes-model-switch.test.ts; src/test/model-privacy.test.ts	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable. Model switching is queued during a response and applied through session-scoped config.set before the next prompt.
JUN-041	Agent	Sandbox vs unrestricted mode	As a user, I want to control whether a session can touch my local files.	New sessions default sandboxed, Unrestricted requires explicit acknowledgment, badge appears only on opted-in sessions, and follow-ups restore each session's mode without tearing down the other runtime.	src/components/agent/AgentWorkspace.tsx; src/lib/agent-session-modes.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Security-sensitive behavior. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-042	Agent	Attachments	As a user, I want to attach files or drop files into a June session.	Attach menu imports selected files or dropped file paths/bytes into Hermes workspace, shows attachment chips, allows removal, and sends imported attachment references with the prompt.	src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-043	Agent	Generated artifact cards	As a user, I want generated files to appear as downloadable artifacts.	Assistant messages that mention workspace files produce artifact cards once, distinguish user attachments, handle duplicate filenames, and download/open supported previews from the session files bar.	src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-044	Agent	Session bar and rename	As a user, I want to rename sessions and use breadcrumbs back to their origin.	Session bar shows title, breadcrumbs, files button, actions menu, inline rename commit/cancel, and origin back links for Projects, Routines, and Sessions.	src/components/agent/AgentWorkspace.tsx; src/app/App.tsx	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-045	Agent	Session list	As a user, I want to browse, search, select, move, and bulk-delete agent sessions.	Sessions workspace shows active statuses first, search, selection toolbar, move-to-project dialog, bulk delete confirmation, and row status indicators.	src/components/agent/AgentSessionsList.tsx; src/components/folders/MoveSessionToProjectDialog.tsx	src/test/agent-sessions-list.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-046	Agent	Sidebar session states	As a user, I want the sidebar to signal pinned, working, waiting, unread, and deleting sessions.	Sidebar loads sessions with retry, caps visible rows, persists pinned order, marks waiting/working/unread states from session events, and clears unread when opened.	src/components/sidebar/Sidebar.tsx; src/lib/agent-events.ts	src/test/folders.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-047	Agent	Approvals and clarifications	As a user, I want tool approval and clarification prompts to be understandable before I respond.	Agent renders pending approvals, explains approval impact, falls back if explanation fails, supports available choices, and responds to clarify requests.	src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Security/UX-sensitive. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-048	Agent	CLI access request card	As a user, I want June to request CLI settings access explicitly when needed.	CLI access request renders as a card, can enable agent CLI access, respects already-granted state, and can be dismissed without changing settings.	src/components/agent/AgentWorkspace.tsx; src/components/settings/AgentSettingsSection.tsx; src/lib/agent-cli-access.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Security-sensitive. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-049	Agent	Error handling	As a user, I want agent connection, busy, failed, and out-of-credit errors to be clear and actionable.	Busy rejections remove ghost bubbles, connection-shaped errors offer retry/dismiss, insufficient credits show top-up instead of raw 402, and dev error gallery surfaces states.	src/components/agent/AgentWorkspace.tsx; src/lib/errors.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-050	Agent	Issue reporting through chat	As a user, I want bug/report categories to seed the agent composer and submit useful diagnostics.	Report issue from identity/settings seeds a category chip, wraps submitted report for June, displays only user-facing text, and files the report after turn completion.	src/components/agent/AgentWorkspace.tsx; src/components/agent/composer/CategoryChipView.tsx; src/components/agent/composer/CategorySuggestionList.tsx; src/components/agent/composer/reportCategory.ts; src/lib/issue-report-prompt.ts	src/test/agent-workspace.test.tsx; src/test/issue-report-prompt.test.ts; src/test/report-category.test.ts	Automated pass; native startup smoke pass	None logged	P1	Previous prod webhook noise was removed separately. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-051	Agent HUD	Session HUD	As a user, I want a small HUD with live agent status and quick reply.	Settings toggle shows/hides HUD, native window can focus reply/open session, menu bar state reflects working/waiting sessions, and HUD does not conflict with meeting/dictation HUDs.	src/agent-hud.ts; src-tauri/src/agent_hud.rs; src/lib/agent-hud-settings.ts; src/lib/menu-bar.ts	src/test/agent-hud.test.ts; src/test/menu-bar.test.ts	Automated pass; HUD browser smoke pass; native startup smoke pass; overlay visual pending	None logged	P1	Headless Chrome verified the standalone HUD blank state, automated tests cover active-session behavior, and native startup smoke passed. Native overlay placement/interactivity still needs manual visual inspection because WKWebView capture is unavailable.
JUN-052	Routines	Routine list and refresh	As a user, I want to see scheduled routines and refresh their state.	Routines page loads jobs, sorts scheduled before paused/completed, searches by name/prompt/schedule, refreshes jobs and run history independently, and degrades if run history is unavailable.	src/components/routines/RoutinesView.tsx; src/lib/hermes-routines.ts; src/lib/hermes-adapter.ts	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-053	Routines	Starter templates	As a user, I want starter routine templates for common automations.	Empty and non-empty routines pages show starter templates, unrestricted templates are badged, and selecting one opens create prefilled with template defaults.	src/components/routines/RoutinesView.tsx; src/components/routines/routine-templates.ts; src/components/routines/RoutineCreate.tsx	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-054	Routines	Create routine	As a user, I want to create a scheduled routine with name, prompt, schedule, and access mode.	Create page validates input, supports schedule picker, creates a Hermes cron job, then opens detail; errors stay visible without losing draft.	src/components/routines/RoutineCreate.tsx; src/components/routines/SchedulePicker.tsx; src/lib/hermes-routines.ts	src/test/routines-view.test.tsx; src/test/routine-schedule.test.ts	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-055	Routines	Describe routine to June	As a user, I want to describe an automation and let June set it up.	Bottom describe bar accepts freeform text, can choose sandboxed/unrestricted, builds a routine-creation prompt, and hands off to a new agent session.	src/components/routines/RoutinesView.tsx; src/lib/hermes-routines.ts	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
